timestamp,volume
31-12-2001,133393800
30-11-2001,135136300
31-10-2001,224351500
28-09-2001,189312500
31-08-2001,143401500
31-07-2001,161016400
29-06-2001,142929700
31-05-2001,159356200
30-04-2001,226210900
30-03-2001,254550000
28-02-2001,156438900
31-01-2001,198962600
29-12-2000,167790700
30-11-2000,130411900
31-10-2000,223510000
29-09-2000,107468400
31-08-2000,121998000
31-07-2000,150130400
30-06-2000,136216300
31-05-2000,123803200
28-04-2000,168464800
31-03-2000,194329000
29-02-2000,133524400
31-01-2000,175259600
31-12-1999,158626300
